Subject,Amplitude,Frequency,Phase,Mean,Negative Peak,Peak to Peak,Positive Peak,RMS,Standard Deviation,Variance,Kurtosis,Median,Mode,Skewness,Classes
1,6.567046,0.084659,-63.690259,0.021293,-43.668746,90.423715,46.75497,11.992403,12.001317,144.031598,4.440163,-0.501762,-2.525955,0.178323,Relaxing
1,5.59235,0.100375,-36.660424,-0.029057,-46.178001,95.081663,48.903662,12.355853,12.360474,152.781317,4.096372,-0.097556,-0.063395,0.056444,Real Rigth
1,3.903054,0.089306,-21.911732,0.028671,-57.438802,127.953486,70.514683,13.086996,13.090237,171.35431,4.710577,-0.356174,-1.779036,0.192013,Relaxing
1,6.249285,0.081862,-76.095403,-0.009068,-57.438802,127.953486,70.514683,13.520847,13.523391,182.882091,4.559129,-0.357211,-1.779036,0.216191,Real Left
1,4.764469,0.0789,-164.001982,0.014913,-59.93914,130.453823,70.514683,13.906469,13.908551,193.447793,4.47474,-0.25479,-1.887189,0.130911,Relaxing
1,3.76385,0.086475,-31.641901,0.001644,-59.93914,116.249861,56.310722,13.675824,13.677541,187.075122,4.100732,-0.07821,3.417035,0.052503,Real Left
1,4.333939,0.083865,-53.080555,0.000413,-59.93914,122.659178,62.720038,13.548014,13.549469,183.588116,4.322905,-0.035904,3.230337,0.105982,Relaxing
1,3.354296,0.08367,184.17218,-0.004003,-59.93914,122.659178,62.720038,13.202625,13.203867,174.342109,4.307109,-0.02891,-5.355806,0.125921,Real Rigth
1,2.470384,0.087605,101.968101,0.001716,-59.93914,122.659178,62.720038,13.178422,13.179523,173.699823,4.345317,-0.013816,-5.355806,0.138728,Relaxing
1,2.304891,0.087684,-30.267927,-0.001676,-53.752012,116.47205,62.720038,13.106388,13.107374,171.803265,4.179889,-0.021584,-5.416111,0.17394,Real Rigth
1,2.294513,0.082012,54.061636,-0.002115,-53.752012,116.47205,62.720038,12.89039,12.891272,166.184883,4.123998,-0.099178,-5.416111,0.17653,Relaxing
1,2.326407,0.081356,-81.005312,0.001336,-50.904742,113.62478,62.720038,12.976953,12.977768,168.422453,4.108058,-0.036116,-2.614211,0.180464,Real Left
1,2.276765,0.081336,68.834468,0.001661,-67.008148,128.134668,61.12652,13.209803,13.210568,174.519094,4.172373,-0.078852,4.106593,0.177991,Relaxing
1,2.297122,0.092346,39.21635,0.00172,-67.008148,135.218601,68.210453,13.434615,13.435338,180.508302,4.252042,-0.069241,2.629431,0.166638,Real Left
