Subject,Amplitude,Frequency,Phase,Mean,Negative Peak,Peak to Peak,Positive Peak,RMS,Standard Deviation,Variance,Kurtosis,Median,Mode,Skewness,Classes
1,23.10556,0.002467,-199.443229,-1.599475,-85.174244,152.444695,67.270451,33.752907,33.740101,1138.394447,2.5373,-3.487241,22.299266,0.016735,Relaxing
1,25.218351,0.003162,-28.751918,-1.214041,-75.300837,148.024058,72.723221,31.633001,31.621604,999.925826,2.496126,-0.71856,-2.028928,0.01138,Real Rigth
1,21.09661,0.000828,-124.168952,0.852223,-78.136297,158.563957,80.42766,33.840837,33.838565,1145.048513,2.44124,2.281599,11.452338,-0.02347,Relaxing
1,15.214402,0.001462,-117.095838,0.969935,-92.139131,188.088911,95.94978,36.492438,36.486415,1331.258468,2.433581,1.322404,12.250215,0.044377,Real Left
1,27.97774,0.003167,-33.147961,-1.210998,-128.252743,225.585527,97.332784,36.402251,36.387569,1324.055197,2.955006,-1.138376,-0.79692,0.020849,Relaxing
1,20.060765,0.004703,-188.814503,-0.553203,-128.248262,270.291167,142.042905,36.699815,36.700251,1346.908443,3.375485,-1.437461,0.140042,0.212291,Real Left
1,20.035584,0.004615,-130.388925,-0.249826,-128.294192,270.187353,141.893161,36.306262,36.309302,1318.365434,3.433238,-1.695207,-5.358947,0.111099,Relaxing
1,16.313639,0.000872,-97.088822,0.581023,-187.86336,350.436268,162.572909,42.910093,42.910199,1841.285155,4.760709,-0.087201,-7.388681,-0.089437,Real Rigth
1,24.975313,0.002412,16.059958,0.892108,-187.859256,411.269197,223.40994,46.039854,46.035056,2119.226396,5.490465,-1.610166,-8.957156,0.390043,Relaxing
1,29.128735,0.001572,96.361577,-0.065233,-204.503015,427.911714,223.408699,49.182442,49.186102,2419.272656,5.637167,-2.086123,-5.524068,0.012202,Real Rigth
1,30.54707,0.001564,106.440147,0.18994,-204.503815,427.911169,223.407354,47.619036,47.621914,2267.846672,5.881912,-1.94443,-9.804233,0.016043,Relaxing
