Subject,Amplitude,Frequency,Phase,Mean,Negative Peak,Peak to Peak,Positive Peak,RMS,Standard Deviation,Variance,Kurtosis,Median,Mode,Skewness,Classes
1,4.985284,0.069804,-16.539754,-0.063021,-28.114557,57.535027,29.42047,9.482365,9.489218,90.045265,3.026767,0.074874,-3.08682,-0.013463,Relaxing
1,6.012981,0.05235,113.696469,0.023029,-26.918732,54.754239,27.835508,9.335426,9.338915,87.215331,2.801618,-0.008298,1.279702,-0.023198,Real Rigth
1,5.496809,0.066757,159.482889,-0.000192,-37.711264,72.963203,35.251939,10.845223,10.847935,117.677696,3.693474,-0.112608,-2.324111,-0.009122,Relaxing
1,4.638736,0.059234,156.403088,0.012997,-37.711264,72.963203,35.251939,10.269085,10.271011,105.493664,3.641882,0.033317,-2.324111,-0.010564,Real Left
1,4.379949,0.052678,17.849365,0.012102,-41.314504,80.793595,39.479091,11.229895,11.231576,126.148296,3.470099,-0.043945,-1.321674,-0.009689,Relaxing
1,5.67335,0.052839,65.856521,0.006354,-41.314504,80.793595,39.479091,10.655357,10.656692,113.565093,3.399474,0.050749,0.294198,-0.009794,Real Left
1,3.786864,0.052892,-91.69875,-0.011468,-41.314504,80.793595,39.479091,10.781982,10.783134,116.275975,3.431463,-0.022134,0.294198,-0.005172,Relaxing
1,4.613898,0.050764,-129.948416,0.011793,-41.314504,80.793595,39.479091,10.867595,10.868612,118.126716,3.58088,-0.022982,-1.321674,-0.010593,Real Rigth
1,4.304743,0.05084,-95.64767,0.002036,-41.195011,80.540786,39.345775,10.991072,10.99199,120.823847,3.472121,-0.018045,0.283494,-0.007676,Relaxing
1,3.95696,0.053054,61.175958,0.009236,-47.964301,96.500768,48.536468,10.754049,10.754855,115.666911,3.70379,-0.033433,-2.126436,-0.006822,Real Rigth
1,3.717353,0.053094,-57.789038,0.000765,-47.964301,96.500768,48.536468,10.714345,10.715078,114.812892,3.716163,-0.044409,-1.161428,-0.008947,Relaxing
1,3.600099,0.05312,154.227735,0.000618,-47.964301,96.500768,48.536468,10.911136,10.911821,119.067834,3.886425,-0.081584,-2.126436,-0.008904,Real Left
1,3.00166,0.053096,123.006194,-0.000694,-47.964301,96.500768,48.536468,11.029725,11.030363,121.668907,3.886477,-0.024462,-1.161428,-0.007973,Relaxing
1,3.0092,0.066514,86.992145,-0.001146,-47.964301,96.500768,48.536468,10.970447,10.971037,120.363647,3.827781,-0.047787,-1.161428,-0.006844,Real Left
1,2.866991,0.054107,123.907243,0.001573,-47.964301,96.500768,48.536468,11.142297,11.142856,124.163229,3.759142,-0.032242,-1.161428,-0.007705,Relaxing
1,3.085305,0.054087,-71.628868,-0.000387,-47.964301,96.500768,48.536468,11.00393,11.004479,121.098549,3.78733,-0.03903,-1.161428,-0.005692,Real Rigth
1,3.243352,0.054106,62.05752,-0.000414,-47.964301,96.500768,48.536468,11.009166,11.009753,121.214671,3.787634,-0.04216,0.768587,-0.005493,Relaxing
1,3.316439,0.072753,45.748669,-0.000446,-47.964301,96.500768,48.536468,11.100175,11.100813,123.228043,3.800261,-0.020771,0.768587,-0.006756,Real Left
1,3.393664,0.054095,20.896461,-0.000483,-47.964301,96.500768,48.536466,11.147891,11.148584,124.290914,3.846674,-0.035724,-1.161429,-0.006502,Relaxing
1,3.319878,0.054064,-153.110055,-0.000527,-45.338697,90.491233,45.152537,10.939339,10.940081,119.685364,3.718924,-0.025768,-0.545536,-0.00612,Real Rigth
1,3.5462,0.072751,-199.940349,-0.000578,-45.338697,90.491233,45.152537,10.903416,10.904227,118.902167,3.744924,-0.01398,1.264289,-0.005844,Relaxing
1,3.470605,0.072751,-238.257284,-0.000642,-45.338697,90.491233,45.152537,11.178001,11.178925,124.968368,3.679747,-0.004284,1.264289,-0.00503,Real Rigth
1,3.838955,0.054003,-15.384576,-0.000721,-45.338695,90.491231,45.152536,11.172388,11.173424,124.845396,3.713576,0.030649,0.359376,-0.005171,Relaxing
1,3.9965,0.053946,-199.499568,-0.000823,-43.674034,86.688194,43.014159,11.096693,11.097869,123.162686,3.493456,-0.016228,0.970385,-0.004766,Real Left
1,4.598661,0.053842,46.450912,-0.000956,-37.100978,74.172257,37.071278,10.880251,10.88159,118.408994,3.382144,-0.037457,-1.127434,-0.00569,Relaxing
1,5.486385,0.053813,112.706879,-0.001145,-37.100978,74.172257,37.071278,10.996857,10.998478,120.966519,3.399041,-0.011647,0.356011,-0.006064,Real Left
1,6.585303,0.053833,201.36016,-0.00142,-37.100978,74.172257,37.071278,10.976783,10.978789,120.53381,3.458319,-0.01398,-1.869157,-0.005574,Relaxing
1,8.518001,0.053997,-164.109216,-0.001883,-37.100978,74.172257,37.071278,11.031286,11.033959,121.748259,3.60959,-0.015006,-1.869157,-0.007606,Real Rigth
1,7.707863,0.054221,-69.516873,-0.00276,-37.100978,74.172257,37.071278,11.756162,11.760338,138.305554,3.451666,-0.076002,-1.869157,-0.004359,Relaxing
1,10.412191,0.052369,-132.623343,-0.005279,-37.781575,74.164218,36.382643,11.097335,11.10488,123.31837,3.553249,-0.286493,-1.070287,-0.00661,Real Left
1,8.320603,0.052625,-72.811309,-0.034632,-24.509924,46.000966,21.491042,9.11711,9.123836,83.244379,2.451088,0.14368,1.020612,0.004173,Relaxing
1,5.530587,0.059749,-100.258655,-0.009395,-40.064481,83.969827,43.905346,10.593064,10.59705,112.297473,4.145679,-0.060668,-2.697908,-0.005463,Real Feet
1,4.489676,0.056836,53.298141,0.013746,-40.064485,83.969825,43.90534,9.812076,9.81452,96.324811,3.743195,0.006226,0.66088,-0.005073,Relaxing
1,4.343987,0.055174,54.080767,-0.014233,-29.057038,59.058931,30.001894,9.326696,9.328441,87.019811,2.856124,-0.112971,-2.185224,-0.009237,Real Fists
