Subject,Amplitude,Frequency,Phase,Mean,Negative Peak,Peak to Peak,Positive Peak,RMS,Standard Deviation,Variance,Kurtosis,Median,Mode,Skewness,Classes
1,2.558189,0.265454,-96.608718,0.00497,-20.562652,44.246236,23.683584,5.59115,5.595313,31.307525,3.463273,-0.058389,-0.430615,-0.010261,Relaxing
1,2.528867,0.242818,134.959294,0.000716,-24.145861,47.786036,23.640175,6.048661,6.050939,36.613868,3.456927,0.126902,1.897528,0.003868,Real Rigth
1,2.001777,0.228148,-17.934461,-0.001227,-24.145861,47.785928,23.640067,6.489486,6.491109,42.134493,3.471171,0.044286,0.463892,0.007529,Relaxing
1,1.925334,0.200411,-2.346653,-0.000103,-24.890924,47.816093,22.925169,6.53211,6.53334,42.684531,3.229649,0.089975,0.690686,0.01043,Real Left
1,1.294118,0.20041,-209.120016,-0.0034,-28.908069,60.567215,31.659146,6.459615,6.460584,41.73915,3.524871,0.084974,0.46703,0.005887,Relaxing
1,1.159494,0.238918,-227.073823,0.001077,-29.754266,61.413412,31.659146,6.271983,6.27277,39.347646,3.627402,0.103771,0.645373,-0.001719,Real Left
1,1.028262,0.239003,-34.617098,-0.001371,-29.754266,61.413412,31.659146,6.138542,6.139201,37.68979,3.576241,0.078645,0.645373,-0.004273,Relaxing
1,1.070825,0.22784,85.289964,-0.000308,-29.754266,61.413412,31.659146,6.245248,6.245836,39.010469,3.55885,0.063749,0.031239,-0.004508,Real Rigth
1,1.066086,0.267795,-51.624263,0.003062,-29.754266,61.413412,31.659146,6.252615,6.253136,39.101715,3.587966,0.036929,0.031239,0.000458,Relaxing
1,1.198285,0.235737,-26.3007,0.000817,-31.818155,63.206525,31.38837,6.265813,6.266285,39.266327,3.620555,0.030227,0.10114,-0.005953,Real Rigth
1,1.237764,0.223655,30.350134,0.000544,-31.818155,63.206525,31.38837,6.238511,6.238938,38.924341,3.708476,0.037538,0.10114,-0.005126,Relaxing
1,1.055684,0.231984,4.960622,0.000654,-31.818155,63.206525,31.38837,6.186101,6.186489,38.27265,3.61262,0.00474,-0.530925,-0.004009,Real Left
1,0.901953,0.262944,71.24178,0.000217,-31.818155,64.927364,33.109209,6.213908,6.214268,38.617123,3.694388,-0.015403,1.619438,-0.00373,Relaxing
1,0.922528,0.26297,-90.265423,0.00033,-31.818155,64.927364,33.109209,6.212775,6.213109,38.602726,3.656464,-0.015403,-0.977657,-0.004655,Real Left
1,0.787894,0.263006,25.583794,0.000221,-31.818155,64.927364,33.109209,6.189964,6.190274,38.319498,3.608418,-0.001506,1.619438,-0.00565,Relaxing
1,0.767014,0.208994,-176.361829,-6.61E-10,-31.818155,64.927364,33.109209,6.108066,6.108371,37.312193,3.605958,-1.92E-05,0.32089,-0.005201,Real Rigth
1,0.780736,0.28166,-3.301075,-7.07E-10,-31.818155,64.927364,33.109209,6.06229,6.062613,36.755278,3.583122,-1.92E-05,0.32089,-0.005645,Relaxing
1,0.869662,0.254418,187.923211,-7.61E-10,-38.59674,72.386745,33.790004,6.085068,6.085418,37.032312,3.775043,3.28E-06,0.130168,-0.005612,Real Left
1,0.866558,0.227187,186.993719,-8.25E-10,-31.406398,64.515607,33.109209,5.994909,5.995282,35.943401,3.377024,-1.17E-05,-0.116328,-0.004847,Relaxing
1,0.932268,0.220902,-128.432371,-8.99E-10,-31.406398,64.515607,33.109209,6.016965,6.017373,36.208782,3.382288,-5.06E-05,-0.116328,-0.005414,Real Rigth
1,0.948764,0.250257,102.333394,-9.87E-10,-31.406398,64.515607,33.109209,6.004693,6.00514,36.061701,3.291911,-0.000139,-0.116328,-0.00446,Relaxing
1,1.036912,0.220924,-33.109647,-1.10E-09,-31.406398,64.515607,33.109209,5.992551,5.993047,35.916611,3.311743,-0.000551,-0.116328,-0.005705,Real Rigth
1,1.068946,0.220929,-67.125919,-1.23E-09,-31.406398,64.515607,33.109209,6.021276,6.021834,36.262485,3.329238,-9.55E-05,-0.116328,-0.005191,Relaxing
1,1.079161,0.220938,85.158622,-1.41E-09,-31.406398,64.515607,33.109209,6.033349,6.033988,36.409015,3.346895,-1.70E-05,-0.116328,-0.007435,Real Left
1,1.185749,0.240625,-187.115763,-1.63E-09,-31.406398,64.515607,33.109209,6.038401,6.039144,36.471263,3.349807,0.000217,-0.116328,-0.006201,Relaxing
1,1.089125,0.221658,101.982908,-1.96E-09,-20.59669,41.682749,21.086059,5.973478,5.974359,35.692968,2.971867,6.86E-05,0.036271,-0.007935,Real Left
1,1.389791,0.221322,36.364833,-2.42E-09,-18.615577,39.701636,21.086059,5.874788,5.875862,34.525757,2.993409,1.76E-05,-0.154316,-0.00508,Relaxing
1,1.618428,0.240582,-23.809067,-3.23E-09,-18.615577,37.765575,19.149998,5.913357,5.91479,34.984742,3.045011,1.76E-05,0.078383,-0.013738,Real Rigth
1,2.063171,0.240506,-94.550494,-4.72E-09,-17.034159,33.459453,16.425295,5.7995,5.801561,33.658108,2.917154,6.11E-06,-0.137135,-0.009443,Relaxing
1,2.775792,0.257155,-114.669198,-9.03E-09,-24.437427,51.002902,26.565475,6.108758,6.112912,37.367691,3.735893,-1.17E-05,-0.211049,-0.009763,Real Left
1,3.213204,0.241774,-102.7485,0.003799,-26.232488,49.950374,23.717886,6.661628,6.666589,44.443408,3.757227,-0.147568,-0.508046,-0.007314,Relaxing
1,1.773027,0.238442,-112.854293,0.003686,-32.465762,59.580873,27.115111,7.030394,7.033042,49.463677,3.981617,0.050453,0.005814,-0.008261,Real Feet
1,1.841805,0.232787,51.303273,-0.000416,-32.465762,59.580873,27.115111,6.524112,6.525743,42.585326,3.747184,0.060086,1.79324,-0.002533,Relaxing
1,1.551778,0.23161,130.301991,0.000207,-22.089682,43.124232,21.03455,6.481468,6.482688,42.025246,3.002167,0.064278,1.844266,-0.00425,Real Fists
1,1.233187,0.250418,54.435654,-0.00096,-26.117571,49.434539,23.316968,6.350849,6.351803,40.345406,3.22552,0.109838,1.318598,-0.004979,Relaxing
1,1.378619,0.199629,44.673976,0.000756,-26.117571,49.434539,23.316968,6.303844,6.304635,39.748423,3.064376,0.078828,0.824253,-0.00778,Real Feet
1,1.393765,0.252628,133.335972,-0.000175,-26.117571,49.434539,23.316968,6.166817,6.167479,38.0378,3.116802,0.065597,1.318598,-0.007062,Relaxing
1,1.12255,0.252507,115.057061,-0.000249,-26.117571,49.434539,23.316968,6.101741,6.102316,37.238256,3.090935,0.026209,1.318598,-0.00618,Real Fists
1,1.13856,0.197396,-33.519291,-0.000722,-31.594119,60.659673,29.065555,6.310346,6.310873,39.827117,3.353564,0.035358,-1.56758,-0.008155,Relaxing
1,0.972766,0.228277,113.226569,0.001222,-35.85567,71.011992,35.156322,6.687252,6.687755,44.726069,3.513628,0.05525,0.715506,-0.006517,Real Feet
1,1.12801,0.223682,-139.833342,0.001022,-35.85567,71.011992,35.156322,6.637518,6.637972,44.062672,3.524621,0.05868,0.715506,-0.006053,Relaxing
1,1.007681,0.22369,-55.850613,0.00101,-35.85567,71.011992,35.156322,6.851865,6.852295,46.95394,3.482235,0.051684,2.135746,-0.007336,Real Fists
