Subject,Amplitude,Frequency,Phase,Mean,Negative Peak,Peak to Peak,Positive Peak,RMS,Standard Deviation,Variance,Kurtosis,Median,Mode,Skewness,Classes
1,9.479033,0.032513,-95.919923,-0.094568,-40.400672,85.420928,45.020257,14.668336,14.678957,215.471785,3.074773,-0.073699,-6.659405,0.204772,Relaxing
1,9.33916,0.026151,-154.50369,-0.066458,-47.187219,92.50282,45.315601,15.221393,15.226982,231.860987,2.854036,-0.653567,-1.398323,0.06965,Real Rigth
1,8.794283,0.030402,18.69861,-0.027825,-46.009124,91.769377,45.760253,15.081254,15.085,227.557219,2.69783,-0.408617,-2.41867,0.058987,Relaxing
1,7.242647,0.031934,43.399807,-0.068605,-45.089008,88.758538,43.669531,14.511899,14.51447,210.669829,2.816991,0.068178,8.609908,0.017795,Real Left
1,5.426564,0.031821,-250.96956,-0.002897,-51.832466,97.702007,45.869541,15.105436,15.107705,228.242758,3.013194,-0.043144,8.254269,0.018346,Relaxing
1,5.003139,0.028319,111.02976,-0.019683,-55.748302,121.141533,65.393231,15.206531,15.208427,231.296256,3.30109,0.014526,1.793926,0.055104,Real Left
1,5.935825,0.028886,-100.909087,9.06E-05,-57.195759,122.58899,65.393231,15.392033,15.393686,236.965562,3.467367,-0.181486,-0.191879,0.052705,Relaxing
1,5.336785,0.027723,192.23262,-0.040763,-57.543061,122.936292,65.393231,15.85866,15.8601,251.542778,3.636991,-0.143468,-0.377686,0.033047,Real Rigth
1,5.832473,0.028756,57.294241,0.002882,-57.543061,122.936292,65.393231,16.014398,16.015735,256.503778,3.557933,-0.102628,-2.836411,0.035819,Relaxing
1,5.98266,0.028709,-141.377543,-0.011573,-57.543061,123.704299,66.161237,16.303863,16.305087,265.855858,3.499449,0.035625,2.453523,0.047445,Real Rigth
1,5.185672,0.026346,-30.343995,-0.004424,-57.543061,112.319963,54.776901,16.271913,16.273025,264.811358,3.277086,-0.005385,0.301719,0.023227,Relaxing
1,5.413185,0.0323,121.08766,-0.00409,-57.543061,112.319963,54.776901,16.096558,16.097568,259.131686,3.27349,-0.100215,4.794518,0.028541,Real Left
1,5.219489,0.032335,136.674817,0.0053,-57.543061,112.319963,54.776901,16.191532,16.192469,262.196037,3.185027,-0.087653,4.794518,0.035592,Relaxing
1,4.907603,0.028034,56.966,-0.005076,-57.543061,112.319963,54.776901,15.652732,15.653573,245.03436,3.140991,-0.163006,5.917717,0.036772,Real Left
1,4.612827,0.028033,191.091561,-0.001082,-55.798561,110.575462,54.776901,15.445079,15.445854,238.574394,3.054293,-0.121569,4.465066,0.054803,Relaxing
1,4.220771,0.024957,56.097704,-0.000253,-51.02629,105.803192,54.776901,15.467182,15.467952,239.257554,2.91124,-0.230748,4.520385,0.062077,Real Rigth
1,4.203968,0.024965,174.448062,-0.000271,-51.02629,105.803192,54.776901,15.531208,15.532036,241.244144,2.901159,-0.339569,4.520385,0.066858,Relaxing
